# Time-averaged data for fix 3
# TimeStep v_lat_tension
100000 0.44622
100001 1.04081
100002 1.20316
100003 1.3888
100004 0.478624
100005 1.81936
100006 1.18561
100007 0.200599
100008 1.05981
100009 0.142283
100010 0.116335
100011 0.836842
100012 -0.139489
100013 1.03741
100014 0.259098
100015 0.584144
100016 0.628798
100017 -0.210465
100018 -0.248517
100019 -0.212981
100020 -0.660901
100021 -0.322761
100022 -1.19864
100023 -0.851076
100024 -0.772256
100025 -0.710309
100026 -0.0347507
100027 -0.353701
100028 -0.459858
100029 -0.277773
100030 -0.852079
100031 -0.541471
100032 0.739544
100033 0.353478
100034 0.190008
100035 0.248711
100036 -0.152926
100037 -0.105746
100038 -0.305202
100039 0.681907
100040 0.692794
100041 0.491443
100042 0.639785
100043 0.469371
100044 0.262753
100045 0.17513
100046 0.15875
100047 0.194558
100048 0.198303
100049 -0.117644
100050 -0.495507
100051 0.0354124
100052 -0.396755
100053 0.223296
100054 -0.774089
100055 0.175878
100056 -0.52059
100057 -0.0749322
100058 -0.851768
100059 0.163066
100060 -0.172467
100061 -0.288216
100062 -0.591542
100063 -0.676512
100064 -0.663843
100065 -0.233952
100066 -0.385253
100067 0.537332
100068 -0.30432
100069 0.0922667
100070 0.123438
100071 -0.67166
100072 -1.32792
100073 -0.666552
100074 -1.19271
100075 -1.22169
100076 -1.42533
100077 -1.39542
100078 -1.48303
100079 -1.52179
100080 -0.942399
100081 -0.346496
100082 0.0355217
100083 -0.430146
100084 -0.499142
100085 0.0656055
100086 0.355265
100087 0.197176
100088 0.62527
100089 -1.09196
100090 0.0492353
100091 -0.0390697
100092 -0.169109
100093 -0.959971
100094 -0.864864
100095 -1.19709
100096 -0.0753522
100097 -0.151465
100098 0.553604
100099 -0.393856
100100 0.0638118
100101 -0.258618
100102 0.311716
100103 0.595347
100104 0.820406
100105 0.654399
100106 -0.704417
100107 0.671588
100108 -0.298135
100109 0.00405357
100110 -0.970972
100111 -0.517225
100112 -0.375221
100113 -0.0593902
100114 0.186725
100115 -0.542413
100116 -0.444692
100117 -0.393129
100118 0.00525478
100119 -1.3283
100120 -0.262569
100121 -0.0766677
100122 -0.407322
100123 -1.1584
100124 -0.45611
100125 -0.790123
100126 -0.735174
100127 0.218562
100128 -0.2277
100129 0.0420038
100130 -0.492308
100131 0.243833
100132 -0.0100838
100133 -0.363331
100134 -0.448454
100135 0.369079
100136 -0.281805
100137 0.315912
100138 0.588717
100139 -0.193295
100140 1.36337
100141 -0.0880702
100142 0.637475
100143 -0.857706
100144 0.383876
100145 0.631206
100146 0.73692
100147 0.637949
100148 0.212989
100149 0.953207
100150 0.999278
100151 -0.269147
100152 0.79927
100153 -0.04768
100154 -0.228788
100155 -0.23971
100156 0.715013
100157 -0.269013
100158 -0.634834
100159 0.454289
100160 -1.58985
100161 -1.40181
100162 0.105258
100163 0.0587958
100164 -0.741078
100165 -0.655441
100166 0.192158
100167 -0.547726
100168 -0.799792
100169 0.345073
100170 0.0624026
100171 0.784744
100172 0.48922
100173 0.0690766
100174 0.143679
100175 0.0342552
100176 0.0918983
100177 0.0355558
100178 0.0162247
100179 0.222206
100180 -0.128662
100181 -0.0811552
100182 0.674731
100183 0.783586
100184 0.89667
100185 0.733937
100186 -0.299408
100187 -0.626298
100188 -1.37528
100189 0.111215
