# Time-averaged data for fix 3
# TimeStep v_lat_tension
100000 -0.799804
100001 -0.902499
100002 -0.554029
100003 -0.81921
100004 -0.709583
100005 -1.31764
100006 -0.447448
100007 -0.262237
100008 -0.427078
100009 0.181398
100010 0.0550596
100011 0.377844
100012 0.269331
100013 0.757731
100014 0.779239
100015 0.994505
100016 -0.151916
100017 0.375821
100018 -0.0349597
100019 -0.0442003
100020 0.530513
100021 -0.96178
100022 0.256123
100023 0.337193
100024 -0.0770612
100025 -0.407126
100026 -0.23888
100027 0.526001
100028 -0.2564
100029 -0.774983
100030 -0.465556
100031 -0.518162
100032 -0.550767
100033 -1.31678
100034 -0.156714
100035 -0.883965
100036 -0.992764
100037 -1.96491
100038 -1.15042
100039 -1.66132
100040 -0.961834
100041 -2.01254
100042 -0.424233
100043 -1.20934
100044 -1.51179
100045 -0.693427
100046 -0.617146
100047 0.265957
100048 0.183922
100049 -0.421708
100050 -0.868959
100051 -0.435452
100052 0.198873
100053 -0.530727
100054 0.0829639
100055 0.42342
100056 0.0571444
100057 0.281303
100058 0.269743
100059 -0.686947
100060 0.569514
100061 -0.168872
100062 -0.569943
100063 0.531741
100064 -0.965075
100065 0.349864
100066 -0.537689
100067 -0.604387
100068 -0.185795
100069 -1.46209
100070 -0.856757
100071 -0.0716153
100072 -0.922731
100073 -1.29531
100074 -1.74949
100075 -0.535643
100076 -0.757298
100077 -1.40504
100078 -1.98139
100079 -2.47747
100080 -1.19254
100081 -0.738061
100082 -1.44215
100083 -0.178725
100084 -1.10947
100085 -0.236762
100086 0.454532
100087 0.0972759
100088 -0.372809
100089 0.0716577
100090 -0.443899
100091 0.446969
100092 -0.313786
100093 0.611111
100094 0.698885
100095 -0.594459
100096 -0.280609
100097 1.47288
100098 0.0971312
100099 0.111323
100100 1.2253
100101 0.186882
100102 -0.120342
100103 0.209867
100104 0.0841862
100105 -0.180182
100106 -0.676603
100107 -0.0200476
100108 0.36785
100109 0.0989168
100110 -0.81868
100111 0.814946
100112 0.836473
100113 0.597748
100114 -0.0188288
100115 0.770478
100116 0.0217507
100117 -0.708064
100118 -1.31256
100119 -0.0944914
100120 -0.719936
100121 -0.732189
100122 -1.3071
100123 0.119121
100124 -0.215973
100125 0.00470843
100126 0.431627
100127 -0.0856763
100128 0.0490872
100129 1.01606
100130 0.576911
100131 0.335073
100132 0.557837
100133 1.14806
100134 0.406356
100135 0.472769
100136 0.167587
100137 0.323317
100138 -0.782567
100139 0.96972
100140 0.273004
100141 0.384602
100142 1.13543
100143 0.694214
100144 0.685677
100145 1.65358
100146 0.912283
100147 0.99552
100148 1.17076
100149 0.734048
100150 0.495186
100151 0.320606
100152 0.477595
100153 0.0579959
100154 0.137705
100155 0.487278
100156 0.416128
100157 0.375199
100158 1.58043
100159 -0.0193519
100160 1.06848
100161 0.123711
100162 1.62843
100163 1.06895
100164 1.20931
100165 1.10432
100166 1.4989
100167 0.555016
100168 0.82292
100169 1.88447
100170 1.95698
100171 0.464901
100172 1.21901
100173 0.737495
100174 0.494218
100175 -0.177844
100176 1.16288
100177 0.468932
100178 1.14291
100179 0.124979
100180 0.334061
100181 1.32743
100182 -0.180259
100183 0.825975
100184 0.843838
100185 -0.0408263
100186 0.64536
100187 -0.292511
100188 -0.498448
100189 -0.0092062
100190 0.0463159
100191 -0.0675919
100192 -0.295675
100193 -0.062833
100194 0.706193
100195 0.273466
100196 -0.559273
100197 -0.374981
100198 -0.520708
100199 -0.537373
100200 -1.32152
100201 -0.678337
100202 -1.61312
