# Time-averaged data for fix 3
# TimeStep v_lat_tension
100000 2.60033
100001 1.43494
100002 0.737027
100003 -0.996097
100004 1.48117
100005 1.43231
100006 0.718711
100007 0.773205
100008 -0.167746
100009 1.01419
100010 0.451866
100011 1.66095
100012 -0.765091
100013 -0.490481
100014 -1.92677
100015 -0.280183
100016 -1.98458
100017 -1.42658
100018 2.3964
100019 2.3844
100020 0.0253031
100021 -0.529376
100022 1.90766
100023 0.933113
100024 -1.97756
100025 -1.83264
100026 -1.25907
100027 -3.2212
100028 -0.622008
100029 -1.92973
100030 -2.3553
100031 -1.98627
100032 -3.42415
100033 -4.00194
100034 -1.17519
100035 -0.0384307
100036 1.30199
100037 -1.68666
100038 3.12252
100039 0.891825
100040 -0.265741
100041 -1.76589
100042 -0.999881
100043 -2.47598
100044 -2.4601
100045 -2.40444
100046 -2.98008
100047 -2.64804
100048 -2.24209
100049 -2.55874
100050 -2.48523
100051 -2.89658
100052 -4.87572
100053 -1.77343
100054 -0.342672
100055 -2.27584
100056 -3.38247
100057 -1.9105
100058 -0.213146
100059 -0.950603
100060 1.74318
100061 0.663563
100062 -1.01677
100063 -0.892969
100064 -1.02206
100065 -0.0646535
100066 -0.622725
100067 0.127727
100068 -0.464321
100069 -1.85104
100070 -2.97255
100071 -0.33345
100072 -0.559624
100073 -3.78162
100074 -2.73596
100075 -1.18402
100076 -2.30718
100077 0.918858
100078 -2.14612
100079 -4.23774
100080 -3.2602
100081 -1.87075
100082 -3.51019
100083 -2.25243
100084 -0.810213
100085 -2.37648
100086 -1.14579
100087 0.322984
100088 0.714521
100089 1.76267
100090 1.08547
100091 -0.193276
100092 1.56731
100093 1.65313
100094 1.19918
100095 0.322907
100096 1.54449
100097 0.417147
100098 -0.00760918
100099 1.84994
100100 -1.36162
100101 -2.34097
100102 -2.73745
100103 -1.45417
100104 -2.94351
100105 -4.83731
100106 -1.91114
100107 -2.27664
100108 -1.45331
100109 -1.42801
100110 -3.1979
100111 -3.79841
100112 -2.96065
100113 -2.6572
100114 -2.13559
100115 -3.19013
100116 0.318681
100117 -0.78358
100118 -0.878905
100119 -1.46175
100120 -0.82873
100121 1.25803
100122 0.930524
100123 -0.362067
100124 0.256017
100125 0.544168
100126 -1.1334
100127 3.05145
100128 0.729072
100129 1.13647
100130 0.994088
100131 4.1297
100132 -0.830746
100133 3.21255
100134 3.49947
100135 0.803532
100136 0.217127
100137 -1.18542
100138 0.988315
100139 0.710637
100140 1.44825
100141 0.617611
100142 1.11547
100143 0.885063
100144 -0.133556
100145 0.118385
100146 0.247729
100147 1.77122
100148 -1.26961
100149 -2.33864
100150 -2.22033
100151 0.0572216
100152 0.0242789
100153 -1.77994
100154 -1.53987
100155 -0.832945
100156 -0.761098
100157 -3.72297
100158 -1.10441
100159 -3.03695
100160 -0.856027
100161 -0.651324
100162 -1.67508
100163 -3.53665
100164 -2.705
100165 -3.31337
100166 2.16833
100167 -1.27021
100168 -2.27248
100169 -0.26052
100170 -0.486781
100171 -0.118439
100172 0.798114
100173 1.76522
100174 3.94912
100175 4.63324
100176 4.81341
100177 6.0576
100178 4.88427
100179 4.85642
100180 5.01402
100181 5.86391
100182 3.06419
100183 4.10673
100184 1.83479
100185 -1.26918
100186 1.79003
100187 0.799385
100188 0.00903981
100189 3.60296
100190 -2.06093
100191 2.85589
100192 2.0649
100193 2.86007
100194 3.65264
100195 2.79224
100196 2.83409
100197 3.06247
100198 1.36652
100199 2.51393
100200 3.76467
100201 -0.34285
100202 3.72241
100203 3.36628
100204 3.01771
100205 0.937393
100206 1.20973
100207 2.59412
100208 4.99895
100209 2.61544
100210 5.30971
100211 2.05172
100212 5.4681
100213 3.18176
100214 3.30666
100215 3.69378
100216 3.17112
100217 1.70513
100218 4.52944
100219 3.71103
100220 6.47537
100221 4.55864
100222 4.27941
100223 4.3414
100224 5.31281
100225 1.61354
100226 1.2486
100227 -0.468038
100228 -0.0525618
100229 2.93787
100230 0.122577
100231 1.42465
100232 0.526188
100233 1.7532
100234 1.777
100235 1.80226
100236 2.25156
100237 1.31529
100238 -0.926404
100239 1.96742
100240 1.16663
100241 1.93735
100242 0.554629
100243 0.0338975
100244 -2.54414
100245 -0.917027
100246 -2.34754
100247 0.145348
100248 0.129508
100249 -0.242033
100250 2.38636
100251 -0.310392
100252 1.1669
100253 1.74258
100254 0.477159
100255 2.88503
100256 5.66213
100257 1.81144
100258 1.73841
100259 1.585
100260 1.83477
100261 1.05264
100262 3.39537
100263 1.54144
100264 2.90833
100265 1.84223
100266 0.719674
100267 1.64845
100268 0.0451154
100269 1.68511
100270 -0.200497
100271 0.115952
100272 0.169028
100273 -0.328434
100274 1.16895
100275 0.466736
100276 -0.144235
100277 -1.12568
100278 -0.254237
100279 -2.6521
100280 -1.28063
100281 -1.17109
100282 -2.42352
100283 0.861042
100284 -0.245213
100285 -0.0667446
100286 1.209
100287 1.12751
100288 -2.0563
100289 0.3481
100290 0.127329
100291 1.46968
100292 -0.607586
100293 1.32303
100294 1.0663
100295 -0.800264
100296 0.204709
100297 -2.60542
100298 -1.64479
100299 0.873401
100300 -3.02948
100301 -0.857803
100302 -4.90814
100303 -2.89822
100304 -3.31037
100305 -2.17276
100306 -2.37868
100307 -1.08412
100308 -3.57045
100309 -2.80867
100310 -2.14603
100311 -3.74012
100312 -0.992299
