# Time-averaged data for fix 3
# TimeStep v_lat_tension
100000 2.60033
100001 1.4288
100002 0.725168
100003 -1.01356
100004 1.45887
100005 1.40578
100006 0.688497
100007 0.739378
100008 -0.203884
100009 0.975617
100010 0.41182
100011 1.61933
100012 -0.807141
100013 -0.534049
100014 -1.96918
100015 -0.326113
100016 -2.02944
100017 -1.4725
100018 2.34809
100019 2.3378
100020 -0.0225685
100021 -0.577509
100022 1.85724
100023 0.884392
100024 -2.02708
100025 -1.8846
100026 -1.31175
100027 -3.27266
100028 -0.673672
100029 -1.98004
100030 -2.40349
100031 -2.03345
100032 -3.47374
100033 -4.05299
100034 -1.22818
100035 -0.0929602
100036 1.24601
100037 -1.74285
100038 3.06732
100039 0.844022
100040 -0.310591
100041 -1.81485
100042 -1.04271
100043 -2.51717
100044 -2.50134
100045 -2.44809
100046 -3.01932
100047 -2.68395
100048 -2.27905
100049 -2.59844
100050 -2.5218
100051 -2.93795
100052 -4.91489
100053 -1.80855
100054 -0.380646
100055 -2.30953
100056 -3.40899
100057 -1.94675
100058 -0.249932
100059 -0.988089
100060 1.7048
100061 0.609908
100062 -1.06733
100063 -0.927667
100064 -1.05111
100065 -0.0788456
100066 -0.650436
100067 0.0866861
100068 -0.505796
100069 -1.90586
100070 -3.03767
100071 -0.404023
100072 -0.626524
100073 -3.83223
100074 -2.78539
100075 -1.26779
100076 -2.34064
100077 0.881349
100078 -2.19893
100079 -4.27732
100080 -3.23995
100081 -1.90478
100082 -3.54253
100083 -2.2985
100084 -0.852733
100085 -2.46948
100086 -1.20354
100087 0.245556
100088 0.665161
100089 1.71824
100090 1.03387
100091 -0.250874
100092 1.45746
100093 1.5659
100094 1.1363
100095 0.265437
100096 1.48762
100097 0.440694
100098 -0.0635024
100099 1.81872
100100 -1.32433
100101 -2.38109
100102 -2.83408
100103 -1.53928
100104 -3.0896
100105 -4.87774
100106 -2.00022
100107 -2.48649
100108 -1.59137
100109 -1.33338
100110 -3.21392
100111 -3.94477
100112 -3.01614
100113 -2.86829
100114 -2.25473
100115 -3.43358
100116 0.156272
100117 -1.05163
100118 -0.924712
100119 -1.57227
100120 -0.958007
100121 1.0636
100122 1.00206
100123 -0.234037
100124 0.0028057
100125 0.532345
100126 -1.35291
100127 2.47072
100128 0.22697
100129 0.523682
100130 0.426566
100131 3.73032
100132 -1.17101
100133 3.04576
100134 3.22399
100135 0.0128828
100136 -0.782697
100137 -1.89507
100138 -0.792471
100139 -0.887766
100140 -0.0162831
100141 -1.22635
100142 0.430526
100143 0.186563
100144 -0.223769
100145 -0.0553896
100146 -0.219917
100147 0.373821
100148 -1.61631
100149 -3.67294
