# Time-averaged data for fix 4
# TimeStep v_sigma_xx_lip v_sigma_yy_lip v_sigma_zz_lip
101000 0.00200822 -0.00200822 0.011546
102000 -0.000394993 0.000394993 0.023893
103000 -0.00352602 0.00352602 0.00896001
104000 -0.002155 0.002155 0.00971284
105000 0.000831306 -0.000831306 0.0166687
106000 0.00314802 -0.00314802 0.008636
107000 0.000633668 -0.000633668 0.013156
108000 -0.00047535 0.00047535 0.0133063
109000 -0.00314664 0.00314664 0.0140783
110000 -0.00155058 0.00155058 0.0127148
111000 0.00411649 -0.00411649 0.0126294
112000 0.00173881 -0.00173881 0.0251273
113000 0.00267475 -0.00267475 0.0186227
114000 0.00122102 -0.00122102 0.0127014
115000 0.00156336 -0.00156336 0.0192981
116000 -0.001841 0.001841 0.0175504
117000 -0.00557248 0.00557248 0.0148219
118000 0.00158613 -0.00158613 0.0181307
119000 0.00102631 -0.00102631 0.0172406
120000 0.0016007 -0.0016007 0.0135519
121000 0.000746154 -0.000746154 0.0104452
122000 -0.00255737 0.00255737 0.0143804
123000 0.000650044 -0.000650044 0.0240519
124000 0.00194462 -0.00194462 0.000344602
125000 0.00140261 -0.00140261 0.00969021
126000 -0.00159687 0.00159687 0.0159714
127000 0.00022991 -0.00022991 0.0100664
128000 -0.000498361 0.000498361 0.0142274
129000 0.00281654 -0.00281654 0.0125055
130000 0.00148454 -0.00148454 0.0109723
131000 0.000684454 -0.000684454 0.00912283
132000 -0.00230243 0.00230243 0.00665258
133000 0.00300764 -0.00300764 0.00910796
134000 -0.00248508 0.00248508 0.0184165
135000 0.00274749 -0.00274749 0.0215626
136000 -0.00247054 0.00247054 0.0150895
137000 -0.000192189 0.000192189 0.0127066
138000 -0.0015764 0.0015764 0.00591813
139000 0.000170342 -0.000170342 0.0045408
140000 -0.00255662 0.00255662 0.0118353
141000 0.000827449 -0.000827449 0.0152457
142000 -0.000475533 0.000475533 0.00180994
143000 -0.000761604 0.000761604 0.00912605
144000 -0.00265871 0.00265871 0.0188155
145000 0.000845672 -0.000845672 0.013124
146000 -0.000339983 0.000339983 0.0126287
147000 -0.00216066 0.00216066 0.0059434
148000 0.00243693 -0.00243693 0.00815083
149000 -0.00210931 0.00210931 0.00440084
150000 -0.000581957 0.000581957 0.0182947
151000 0.000779665 -0.000779665 0.0140125
152000 -0.00267261 0.00267261 0.0134203
153000 -9.79787e-05 9.79787e-05 0.0129929
154000 0.000464624 -0.000464624 0.00573889
155000 -0.000709773 0.000709773 0.0130885
156000 0.00365499 -0.00365499 0.0209367
157000 -0.00180366 0.00180366 0.0252546
158000 -0.00169806 0.00169806 0.0174295
159000 0.000722122 -0.000722122 0.0202209
160000 -0.00225831 0.00225831 0.012001
161000 -0.00081246 0.00081246 0.0163321
162000 -0.00223132 0.00223132 0.010638
163000 0.001276 -0.001276 0.0163937
164000 -0.00146391 0.00146391 0.0145568
165000 0.00048472 -0.00048472 0.0124579
