# Time-averaged data for fix 4
# TimeStep v_sigma_xx v_sigma_yy v_sigma_zz v_f_tether
100000 -0.0335672 0.0335672 0.0131363 23.5933
101000 0.0507394 -0.0507394 -0.0410836 -73.7879
102000 0.00587613 -0.00587613 0.00269988 4.84909
103000 0.00892178 -0.00892178 0.0211396 37.9676
104000 0.0294074 -0.0294074 -0.00454164 -8.15697
105000 -0.0337843 0.0337843 0.0032764 5.88455
106000 0.00173234 -0.00173234 -0.0116542 -20.9314
107000 0.0451931 -0.0451931 0.0258194 46.3727
108000 0.0116549 -0.0116549 -0.00985852 -17.7063
109000 -0.013181 0.013181 -0.0428443 -76.9502
110000 0.0231716 -0.0231716 -0.0267771 -48.0927
111000 -0.013423 0.013423 -0.0331897 -59.6102
112000 -0.00738194 0.00738194 -0.0352671 -63.3413
113000 0.00556647 -0.00556647 0.0378152 67.9177
114000 -0.025069 0.025069 0.0462877 83.1347
115000 0.0271825 -0.0271825 0.0199953 35.9124
116000 -0.000578691 0.000578691 0.0557641 100.155
117000 -0.0441645 0.0441645 -0.0120169 -21.583
118000 -0.0132251 0.0132251 0.0113821 20.4427
119000 -0.00624463 0.00624463 0.0563481 101.204
120000 0.0178338 -0.0178338 0.0440645 79.1418
121000 -0.0107128 0.0107128 -0.0257724 -46.2884
122000 0.00806456 -0.00806456 -0.0220159 -39.5414
123000 -0.0108789 0.0108789 0.000270639 0.48608
124000 -0.003714 0.003714 0.0102953 18.4908
125000 -0.00731433 0.00731433 -0.0107611 -19.3274
126000 -0.0440756 0.0440756 -0.0863601 -155.106
127000 0.0315616 -0.0315616 -0.0649256 -116.609
128000 0.00359812 -0.00359812 -0.0359535 -64.5741
129000 0.0636756 -0.0636756 0.0200274 35.97
130000 -0.0223174 0.0223174 -0.00491395 -8.82566
131000 0.00311831 -0.00311831 -0.0224652 -40.3485
132000 -0.030738 0.030738 0.0852554 153.122
133000 -0.0144503 0.0144503 0.000917965 1.6487
134000 0.0104541 -0.0104541 -0.0196866 -35.358
135000 -0.0126864 0.0126864 0.0364161 65.4048
136000 0.0135563 -0.0135563 -0.0615588 -110.562
137000 0.0352887 -0.0352887 -0.0456046 -81.9078
138000 -0.0131641 0.0131641 -0.0362634 -65.1306
139000 -0.0275585 0.0275585 0.012751 22.9014
140000 0.00195538 -0.00195538 -0.0584632 -105.002
141000 -0.0802873 0.0802873 0.00177738 3.19225
142000 -0.00927689 0.00927689 0.0017586 3.15851
143000 0.0222496 -0.0222496 0.0374871 67.3284
144000 -0.0520001 0.0520001 -0.00208284 -3.74088
145000 0.0668292 -0.0668292 0.0324325 58.2502
146000 -0.0203569 0.0203569 0.0392777 70.5444
147000 -0.0468299 0.0468299 -0.00774636 -13.9128
148000 0.0113317 -0.0113317 -0.0857352 -153.984
149000 -0.0251113 0.0251113 0.000614948 1.10447
150000 0.00341277 -0.00341277 0.0349049 62.6906
151000 0.030704 -0.030704 0.0781767 140.409
152000 0.00971851 -0.00971851 0.0513099 92.1549
153000 -0.039461 0.039461 0.0688766 123.705
154000 0.00838137 -0.00838137 0.000365598 0.656629
155000 -0.00658707 0.00658707 0.0199237 35.7837
156000 0.0237627 -0.0237627 0.0668858 120.13
157000 -0.0475189 0.0475189 0.0542441 97.4247
158000 0.00420079 -0.00420079 -0.021245 -38.157
159000 -0.011708 0.011708 0.0756561 135.882
160000 0.00590643 -0.00590643 0.0500194 89.837
161000 0.0334499 -0.0334499 0.0759784 136.46
162000 -0.0137044 0.0137044 0.00633322 11.3747
163000 0.0122909 -0.0122909 0.0249099 44.7393
164000 0.0152523 -0.0152523 0.00271622 4.87845
165000 -0.032286 0.032286 -0.00616079 -11.065
166000 0.00568706 -0.00568706 -0.00532686 -9.56727
167000 0.00203433 -0.00203433 0.100703 180.868
168000 -0.0446024 0.0446024 0.0219341 39.3945
169000 -0.0161306 0.0161306 0.00451756 8.11373
170000 -0.028815 0.028815 -0.033164 -59.564
171000 -0.00780835 0.00780835 -0.00494578 -8.88283
172000 -0.0135126 0.0135126 0.0493694 88.6696
173000 0.00691506 -0.00691506 -0.000828252 -1.48758
174000 0.00485087 -0.00485087 0.00407319 7.31563
175000 0.0298186 -0.0298186 -0.0538343 -96.6887
176000 0.0105352 -0.0105352 0.0111368 20.0021
177000 -0.0283466 0.0283466 -0.000928261 -1.6672
178000 -0.0079531 0.0079531 0.0209178 37.5692
179000 0.0467765 -0.0467765 -0.0120867 -21.7082
180000 0.0407455 -0.0407455 0.00455541 8.18172
181000 0.00219992 -0.00219992 0.0657352 118.063
182000 0.0127881 -0.0127881 0.00481334 8.64496
183000 -0.0224303 0.0224303 0.0115575 20.7578
184000 -0.0045477 0.0045477 -0.118757 -213.293
185000 -0.0306111 0.0306111 -0.00310894 -5.58379
186000 -0.0185061 0.0185061 -0.0110715 -19.885
187000 0.00915263 -0.00915263 -0.011901 -21.3747
188000 -0.0259909 0.0259909 0.0421037 75.62
189000 -0.0173178 0.0173178 0.0682464 122.574
190000 0.0243094 -0.0243094 -0.0270373 -48.5601
191000 -0.000206195 0.000206195 -0.00477511 -8.57631
192000 0.0102516 -0.0102516 0.0749839 134.674
193000 -0.0174878 0.0174878 0.122821 220.593
194000 -0.0147759 0.0147759 -0.0226619 -40.7018
195000 -0.0403471 0.0403471 0.00396935 7.12913
196000 -0.025974 0.025974 0.0205833 36.9685
197000 -0.0184848 0.0184848 0.0402816 72.3475
198000 0.00686057 -0.00686057 0.0158945 28.5472
199000 -0.00549402 0.00549402 -0.0246866 -44.3381
200000 0.0306642 -0.0306642 -0.00209367 -3.76032
201000 0.0192593 -0.0192593 0.00132171 2.37384
202000 0.0193354 -0.0193354 -0.00823758 -14.795
203000 0.00745358 -0.00745358 0.0269575 48.4168
204000 -0.00348348 0.00348348 0.0528231 94.8725
205000 0.000266935 -0.000266935 0.0863671 155.119
206000 -0.00209565 0.00209565 0.0172341 30.9532
207000 -0.000150652 0.000150652 0.0157894 28.3585
208000 -0.0127955 0.0127955 0.0435971 78.3023
209000 -0.00604808 0.00604808 0.00726393 13.0463
210000 -0.00323153 0.00323153 -0.0595696 -106.989
211000 0.000101976 -0.000101976 -0.0293264 -52.6714
212000 -9.15568e-05 9.15568e-05 0.0942511 169.279
213000 -0.00193735 0.00193735 -0.000493226 -0.885854
214000 0.00508946 -0.00508946 0.0814656 146.316
215000 0.00327593 -0.00327593 0.0798072 143.337
216000 0.00727529 -0.00727529 0.0415242 74.5792
217000 -0.0264506 0.0264506 0.0413183 74.2095
218000 0.00749636 -0.00749636 0.062308 111.908
219000 0.0234694 -0.0234694 0.0150068 26.9528
220000 0.0208246 -0.0208246 0.00705393 12.6692
221000 -0.0283484 0.0283484 0.0601202 107.979
222000 -0.0339828 0.0339828 0.0381851 68.582
223000 0.0174073 -0.0174073 0.0372734 66.9445
224000 -0.0493533 0.0493533 0.0818533 147.012
225000 0.0320066 -0.0320066 0.0355835 63.9095
226000 -0.00178885 0.00178885 -0.03155 -56.6652
227000 0.0198367 -0.0198367 0.00577101 10.365
228000 -0.0211361 0.0211361 -0.0337172 -60.5575
229000 -0.0215659 0.0215659 -0.000936718 -1.68239
230000 0.0346541 -0.0346541 0.00718405 12.9029
231000 0.00750362 -0.00750362 0.0424141 76.1776
232000 -0.0511621 0.0511621 -0.0279894 -50.2702
233000 -0.00903443 0.00903443 0.00981712 17.632
234000 0.0184603 -0.0184603 -0.0157725 -28.3282
235000 0.0511031 -0.0511031 -0.0387941 -69.6759
236000 0.0124246 -0.0124246 0.0392016 70.4077
237000 0.00140837 -0.00140837 0.0526861 94.6265
238000 -0.0220437 0.0220437 -0.0804729 -144.533
239000 -0.00355987 0.00355987 0.0101557 18.2401
240000 0.0294923 -0.0294923 0.0425308 76.3871
241000 0.00182108 -0.00182108 0.00988142 17.7475
242000 0.0253206 -0.0253206 0.0215038 38.6217
243000 -0.0256171 0.0256171 -0.0560222 -100.618
